probe 

191	t=0.000000	p0=0.000000	h0=0.000000
192	t=0.000000	p0=0.000000	h0=0.000000
193	t=0.000000	p0=0.000000	h0=0.000000
194	t=0.000000	p0=0.000000	h0=0.000000
195	t=0.000000	p0=0.000000	h0=0.000000
196	t=0.000000	p0=0.000000	h0=0.000000
197	t=0.000000	p0=0.000000	h0=0.000000
198	t=0.000000	p0=0.000000	h0=0.000000
199	t=0.000000	p0=0.000000	h0=0.000000
200	t=0.000000	p0=0.000000	h0=0.000000
